year,month,area_id,age_group,saving_rate,heat_stroke_rate,elec_price,avg_temp,gdp_capita
2008,7,1,0_19,0,3.0172414779663086,17.425294876098633,19.072399139404297,1198.259928648844
2008,7,1,20_64,0,1.2110202312469482,17.425294876098633,19.072399139404297,1198.259928648844
2008,7,1,65,0,3.2950191497802734,17.425294876098633,19.072399139404297,1198.259928648844
2008,8,1,0_19,0,1.057993769645691,17.425294876098633,18.45380401611328,1198.259928648844
2008,8,1,20_64,0,1.2165249586105347,17.425294876098633,18.45380401611328,1198.259928648844
2008,8,1,65,0,2.8352489471435547,17.425294876098633,18.45380401611328,1198.259928648844
2008,9,1,0_19,0,0,17.425294876098633,16.349885940551758,1198.259928648844
2008,9,1,20_64,0,0.12110202759504318,17.425294876098633,16.349885940551758,1198.259928648844
2008,9,1,65,0,0.6896551847457886,17.425294876098633,16.349885940551758,1198.259928648844
2009,7,1,0_19,0,1.533527135848999,16.654399871826172,17.962936401367188,1182.4295809264306
2009,7,1,20_64,0,0.8606283664703369,16.654399871826172,17.962936401367188,1182.4295809264306
2009,7,1,65,0,1.799100399017334,16.654399871826172,17.962936401367188,1182.4295809264306
2009,8,1,0_19,0,1.3230429887771606,16.654399871826172,19.246776580810547,1182.4295809264306
2009,8,1,20_64,0,0.9191176295280457,16.654399871826172,19.246776580810547,1182.4295809264306
2009,8,1,65,0,1.6491754055023193,16.654399871826172,19.246776580810547,1182.4295809264306
2009,9,1,0_19,0,0,16.654399871826172,15.624343872070313,1182.4295809264306
2009,9,1,20_64,0,0.12254901975393295,16.654399871826172,15.624343872070313,1182.4295809264306
2009,9,1,65,0,0.22488754987716675,16.654399871826172,15.624343872070313,1182.4295809264306
2010,7,1,0_19,0,1.876067876815796,16.773799896240234,20.621509552001953,1140.3327417363628
2010,7,1,20_64,0,1.2351934909820557,16.773799896240234,20.621509552001953,1140.3327417363628
2010,7,1,65,0,5.007112979888916,16.773799896240234,20.621509552001953,1140.3327417363628
2010,8,1,0_19,0,4.109482288360596,16.773799896240234,22.49663543701172,1140.3327417363628
2010,8,1,20_64,0,7.270157337188721,16.773799896240234,22.49663543701172,1140.3327417363628
2010,8,1,65,0,18.334869384765625,16.773799896240234,22.49663543701172,1140.3327417363628
2010,9,1,0_19,0,0.7146925330162048,16.773799896240234,17.693239212036133,1140.3327417363628
2010,9,1,20_64,0,0.8826839923858643,16.773799896240234,17.693239212036133,1140.3327417363628
2010,9,1,65,0,4.270772933959961,16.773799896240234,17.693239212036133,1140.3327417363628
2011,7,1,0_19,0,3.600161075592041,17.61223030090332,19.962068557739258,1132.7920660102116
2011,7,1,20_64,0,2.7659332752227783,17.61223030090332,19.962068557739258,1132.7920660102116
2011,7,1,65,0,8.3212738037109375,17.61223030090332,19.962068557739258,1132.7920660102116
2011,8,1,0_19,0,5.410297870635986,17.61223030090332,21.104442596435547,1132.7920660102116
2011,8,1,20_64,0,3.7239184379577637,17.61223030090332,21.104442596435547,1132.7920660102116
2011,8,1,65,0,13.314037322998047,17.61223030090332,21.104442596435547,1132.7920660102116
2011,9,1,0_19,0,0.12067578732967377,17.61223030090332,17.62289047241211,1132.7920660102116
2011,9,1,20_64,0,0.24731366336345673,17.61223030090332,17.62289047241211,1132.7920660102116
2011,9,1,65,0,0.7235890030860901,17.61223030090332,17.62289047241211,1132.7920660102116
2012,7,1,0_19,0.07,6.234643459320068,17.49680519104004,20.030170440673828,1137.1240923246016
2012,7,1,20_64,0.07,5.037674427032471,17.49680519104004,20.030170440673828,1137.1240923246016
2012,7,1,65,0.07,14.416315078735352,17.49680519104004,20.030170440673828,1137.1240923246016
2012,8,1,0_19,0.07,4.852579593658447,17.49680519104004,21.93239974975586,1137.1240923246016
2012,8,1,20_64,0.07,5.459164619445801,17.49680519104004,21.93239974975586,1137.1240923246016
2012,8,1,65,0.07,15.400843620300293,17.49680519104004,21.93239974975586,1137.1240923246016
2012,9,1,0_19,0.07,0.7268632054328918,17.49680519104004,21.36309814453125,1137.1240923246016
2012,9,1,20_64,0.07,2.8753716945648193,17.49680519104004,21.36309814453125,1137.1240923246016
2012,9,1,65,0.07,5.696202754974365,17.49680519104004,21.36309814453125,1137.1240923246016
2013,7,1,0_19,0.063,8.185978889465332,19.486074447631836,20.305904388427734,1145.0748348674522
2013,7,1,20_64,0.063,4.352688312530518,19.486074447631836,20.305904388427734,1145.0748348674522
2013,7,1,65,0.063,15.248468399047852,19.486074447631836,20.305904388427734,1145.0748348674522
2013,8,1,0_19,0.063,3.338880777359009,19.486074447631836,21.05770492553711,1145.0748348674522
2013,8,1,20_64,0.063,3.0695431232452393,19.486074447631836,21.05770492553711,1145.0748348674522
2013,8,1,65,0.063,12.525527954101563,19.486074447631836,21.05770492553711,1145.0748348674522
2013,9,1,0_19,0.063,0.4992718994617462,19.486074447631836,16.969511032104492,1145.0748348674522
2013,9,1,20_64,0.063,0.37670326232910156,19.486074447631836,16.969511032104492,1145.0748348674522
2013,9,1,65,0.063,0.40844112634658813,19.486074447631836,16.969511032104492,1145.0748348674522
2014,7,1,0_19,0.071,4.275584697723389,21.402475357055664,20.576828002929688,1171.8691057407407
2014,7,1,20_64,0.071,3.2519102096557617,21.402475357055664,20.576828002929688,1171.8691057407407
2014,7,1,65,0.071,10.138248443603516,21.402475357055664,20.576828002929688,1171.8691057407407
2014,8,1,0_19,0.071,4.804741382598877,21.402475357055664,20.664409637451172,1171.8691057407407
2014,8,1,20_64,0.071,3.4654953479766846,21.402475357055664,20.664409637451172,1171.8691057407407
2014,8,1,65,0.071,8.55826187133789,21.402475357055664,20.664409637451172,1171.8691057407407
2014,9,1,0_19,0.071,0.6349878311157227,21.402475357055664,16.372175216674805,1171.8691057407407
2014,9,1,20_64,0.071,0.15041212737560272,21.402475357055664,16.372175216674805,1171.8691057407407
2014,9,1,65,0.071,0.526662290096283,21.402475357055664,16.372175216674805,1171.8691057407407
2015,7,1,0_19,0.071,7.799313068389893,22.960472106933594,19.562265396118164,1194.380729061965
2015,7,1,20_64,0.071,4.367273807525635,22.960472106933594,19.562265396118164,1194.380729061965
2015,7,1,65,0.071,15.015525817871094,22.960472106933594,19.562265396118164,1194.380729061965
2015,8,1,0_19,0.071,5.095837116241455,22.960472106933594,20.231033325195313,1194.380729061965
2015,8,1,20_64,0.071,4.093164443969727,22.960472106933594,20.231033325195313,1194.380729061965
2015,8,1,65,0.071,13.026288986206055,22.960472106933594,20.231033325195313,1194.380729061965
2015,9,1,0_19,0.071,0.7509654760360718,22.960472106933594,16.627443313598633,1194.380729061965
2015,9,1,20_64,0.071,0.2248314470052719,22.960472106933594,16.627443313598633,1194.380729061965
2015,9,1,65,0.071,0.641689121723175,22.960472106933594,16.627443313598633,1194.380729061965
2008,7,2,0_19,0,4.416635990142822,17.034423828125,21.183658599853516,1153.4815790497125
2008,7,2,20_64,0,2.12573504447937,17.034423828125,21.183658599853516,1153.4815790497125
2008,7,2,65,0,4.705882549285889,17.034423828125,21.183658599853516,1153.4815790497125
2008,7,2,0_19,0,0.9090909361839294,17.034423828125,22.569211959838867,1153.4815790497125
2008,7,2,20_64,0,1.1648852825164795,17.034423828125,22.569211959838867,1153.4815790497125
2008,7,2,65,0,5.070422649383545,17.034423828125,22.569211959838867,1153.4815790497125
2008,7,2,0_19,0,6.514453411102295,17.034423828125,22.05994987487793,1153.4815790497125
2008,7,2,20_64,0,1.9762845039367676,17.034423828125,22.05994987487793,1153.4815790497125
2008,7,2,65,0,4.563492298126221,17.034423828125,22.05994987487793,1153.4815790497125
2008,7,2,0_19,0,6.128702640533447,17.034423828125,22.505857467651367,1153.4815790497125
2008,7,2,20_64,0,5.696576118469238,17.034423828125,22.505857467651367,1153.4815790497125
2008,7,2,65,0,7.301587104797363,17.034423828125,22.505857467651367,1153.4815790497125
2008,7,2,0_19,0,3.6191296577453613,17.034423828125,23.171689987182617,1153.4815790497125
2008,7,2,20_64,0,4.291018962860107,17.034423828125,23.171689987182617,1153.4815790497125
2008,7,2,65,0,9.463722229003906,17.034423828125,23.171689987182617,1153.4815790497125
2008,7,2,0_19,0,11.209842681884766,17.034423828125,22.810867309570313,1153.4815790497125
2008,7,2,20_64,0,3.477782964706421,17.034423828125,22.810867309570313,1153.4815790497125
2008,7,2,65,0,13.508064270019531,17.034423828125,22.810867309570313,1153.4815790497125
